review,date,date_str,TMP,SKY,PTY,하늘상태,강수형태
반찬 없을 때 간편하게 먹기 좋아요.,2025-05-16,20250516,20,4,0,흐림,없음
차이797 시그니처 쇠고기 마늘 볶음밥 후기가 좋아서 구입했어요,2025-05-15,20250515,21,1,0,맑음,없음
신상에 할인 하길래 사봤습니다 맛이 기대되네요,2025-05-15,20250515,21,1,0,맑음,없음
신상이라 얼른 구매 해 봄.ㅎㅎ,2025-05-15,20250515,21,1,0,맑음,없음
지인 추천으로 샀어요! 기대해요,2025-05-15,20250515,21,1,0,맑음,없음
"퇴근하고 왔더니 ㅠㅠ

차이797 마늘볶음밥 맛있게 먹었던 기억이 있어 신제품에서 보고 얼른 구입해 냉동실에 넣고 저녁에 먹자고 하며 출근했었는데
갑자기 야근으로 눚게 집에 갔더니...
신랑이 팬에 볶아 먹고 2인분양이라 처음엔 남겼다가 먹다보니 맛있어 다 드셨답니다. ㅋ
어떻게 /얼마나 맛있길래 2인분을 다 먹었냐고 따졌더니 비싼 중국집 볶음밥맛이라고만 하네요.
달랑 하나만 산 제 잘못이지요 ㅠ
얼릉 더 사러 컬리 들어와 후기 아닌 후기 올리고 재구매합니다~",2025-05-14,20250514,25,4,0,흐림,없음
첫구매했는데 맛있어요,2025-05-14,20250514,25,4,0,흐림,없음
반찬 없을 때 간편하게 먹기 좋아요.,2025-05-16,20250516,20,4,0,흐림,없음
차이797 시그니처 쇠고기 마늘 볶음밥 후기가 좋아서 구입했어요,2025-05-15,20250515,21,1,0,맑음,없음
신상에 할인 하길래 사봤습니다 맛이 기대되네요,2025-05-15,20250515,21,1,0,맑음,없음
신상이라 얼른 구매 해 봄.ㅎㅎ,2025-05-15,20250515,21,1,0,맑음,없음
지인 추천으로 샀어요! 기대해요,2025-05-15,20250515,21,1,0,맑음,없음
"퇴근하고 왔더니 ㅠㅠ

차이797 마늘볶음밥 맛있게 먹었던 기억이 있어 신제품에서 보고 얼른 구입해 냉동실에 넣고 저녁에 먹자고 하며 출근했었는데
갑자기 야근으로 눚게 집에 갔더니...
신랑이 팬에 볶아 먹고 2인분양이라 처음엔 남겼다가 먹다보니 맛있어 다 드셨답니다. ㅋ
어떻게 /얼마나 맛있길래 2인분을 다 먹었냐고 따졌더니 비싼 중국집 볶음밥맛이라고만 하네요.
달랑 하나만 산 제 잘못이지요 ㅠ
얼릉 더 사러 컬리 들어와 후기 아닌 후기 올리고 재구매합니다~",2025-05-14,20250514,25,4,0,흐림,없음
첫구매했는데 맛있어요,2025-05-14,20250514,25,4,0,흐림,없음
반찬 없을 때 간편하게 먹기 좋아요.,2025-05-16,20250516,20,4,0,흐림,없음
차이797 시그니처 쇠고기 마늘 볶음밥 후기가 좋아서 구입했어요,2025-05-15,20250515,21,1,0,맑음,없음
신상에 할인 하길래 사봤습니다 맛이 기대되네요,2025-05-15,20250515,21,1,0,맑음,없음
신상이라 얼른 구매 해 봄.ㅎㅎ,2025-05-15,20250515,21,1,0,맑음,없음
지인 추천으로 샀어요! 기대해요,2025-05-15,20250515,21,1,0,맑음,없음
"퇴근하고 왔더니 ㅠㅠ

차이797 마늘볶음밥 맛있게 먹었던 기억이 있어 신제품에서 보고 얼른 구입해 냉동실에 넣고 저녁에 먹자고 하며 출근했었는데
갑자기 야근으로 눚게 집에 갔더니...
신랑이 팬에 볶아 먹고 2인분양이라 처음엔 남겼다가 먹다보니 맛있어 다 드셨답니다. ㅋ
어떻게 /얼마나 맛있길래 2인분을 다 먹었냐고 따졌더니 비싼 중국집 볶음밥맛이라고만 하네요.
달랑 하나만 산 제 잘못이지요 ㅠ
얼릉 더 사러 컬리 들어와 후기 아닌 후기 올리고 재구매합니다~",2025-05-14,20250514,25,4,0,흐림,없음
첫구매했는데 맛있어요,2025-05-14,20250514,25,4,0,흐림,없음
반찬 없을 때 간편하게 먹기 좋아요.,2025-05-16,20250516,20,4,0,흐림,없음
차이797 시그니처 쇠고기 마늘 볶음밥 후기가 좋아서 구입했어요,2025-05-15,20250515,21,1,0,맑음,없음
신상에 할인 하길래 사봤습니다 맛이 기대되네요,2025-05-15,20250515,21,1,0,맑음,없음
신상이라 얼른 구매 해 봄.ㅎㅎ,2025-05-15,20250515,21,1,0,맑음,없음
지인 추천으로 샀어요! 기대해요,2025-05-15,20250515,21,1,0,맑음,없음
"퇴근하고 왔더니 ㅠㅠ

차이797 마늘볶음밥 맛있게 먹었던 기억이 있어 신제품에서 보고 얼른 구입해 냉동실에 넣고 저녁에 먹자고 하며 출근했었는데
갑자기 야근으로 눚게 집에 갔더니...
신랑이 팬에 볶아 먹고 2인분양이라 처음엔 남겼다가 먹다보니 맛있어 다 드셨답니다. ㅋ
어떻게 /얼마나 맛있길래 2인분을 다 먹었냐고 따졌더니 비싼 중국집 볶음밥맛이라고만 하네요.
달랑 하나만 산 제 잘못이지요 ㅠ
얼릉 더 사러 컬리 들어와 후기 아닌 후기 올리고 재구매합니다~",2025-05-14,20250514,25,4,0,흐림,없음
첫구매했는데 맛있어요,2025-05-14,20250514,25,4,0,흐림,없음
반찬 없을 때 간편하게 먹기 좋아요.,2025-05-16,20250516,20,4,0,흐림,없음
차이797 시그니처 쇠고기 마늘 볶음밥 후기가 좋아서 구입했어요,2025-05-15,20250515,21,1,0,맑음,없음
신상에 할인 하길래 사봤습니다 맛이 기대되네요,2025-05-15,20250515,21,1,0,맑음,없음
신상이라 얼른 구매 해 봄.ㅎㅎ,2025-05-15,20250515,21,1,0,맑음,없음
지인 추천으로 샀어요! 기대해요,2025-05-15,20250515,21,1,0,맑음,없음
"퇴근하고 왔더니 ㅠㅠ

차이797 마늘볶음밥 맛있게 먹었던 기억이 있어 신제품에서 보고 얼른 구입해 냉동실에 넣고 저녁에 먹자고 하며 출근했었는데
갑자기 야근으로 눚게 집에 갔더니...
신랑이 팬에 볶아 먹고 2인분양이라 처음엔 남겼다가 먹다보니 맛있어 다 드셨답니다. ㅋ
어떻게 /얼마나 맛있길래 2인분을 다 먹었냐고 따졌더니 비싼 중국집 볶음밥맛이라고만 하네요.
달랑 하나만 산 제 잘못이지요 ㅠ
얼릉 더 사러 컬리 들어와 후기 아닌 후기 올리고 재구매합니다~",2025-05-14,20250514,25,4,0,흐림,없음
첫구매했는데 맛있어요,2025-05-14,20250514,25,4,0,흐림,없음
반찬 없을 때 간편하게 먹기 좋아요.,2025-05-16,20250516,20,4,0,흐림,없음
차이797 시그니처 쇠고기 마늘 볶음밥 후기가 좋아서 구입했어요,2025-05-15,20250515,21,1,0,맑음,없음
신상에 할인 하길래 사봤습니다 맛이 기대되네요,2025-05-15,20250515,21,1,0,맑음,없음
신상이라 얼른 구매 해 봄.ㅎㅎ,2025-05-15,20250515,21,1,0,맑음,없음
지인 추천으로 샀어요! 기대해요,2025-05-15,20250515,21,1,0,맑음,없음
"퇴근하고 왔더니 ㅠㅠ

차이797 마늘볶음밥 맛있게 먹었던 기억이 있어 신제품에서 보고 얼른 구입해 냉동실에 넣고 저녁에 먹자고 하며 출근했었는데
갑자기 야근으로 눚게 집에 갔더니...
신랑이 팬에 볶아 먹고 2인분양이라 처음엔 남겼다가 먹다보니 맛있어 다 드셨답니다. ㅋ
어떻게 /얼마나 맛있길래 2인분을 다 먹었냐고 따졌더니 비싼 중국집 볶음밥맛이라고만 하네요.
달랑 하나만 산 제 잘못이지요 ㅠ
얼릉 더 사러 컬리 들어와 후기 아닌 후기 올리고 재구매합니다~",2025-05-14,20250514,25,4,0,흐림,없음
첫구매했는데 맛있어요,2025-05-14,20250514,25,4,0,흐림,없음
반찬 없을 때 간편하게 먹기 좋아요.,2025-05-16,20250516,20,4,0,흐림,없음
차이797 시그니처 쇠고기 마늘 볶음밥 후기가 좋아서 구입했어요,2025-05-15,20250515,21,1,0,맑음,없음
신상에 할인 하길래 사봤습니다 맛이 기대되네요,2025-05-15,20250515,21,1,0,맑음,없음
신상이라 얼른 구매 해 봄.ㅎㅎ,2025-05-15,20250515,21,1,0,맑음,없음
지인 추천으로 샀어요! 기대해요,2025-05-15,20250515,21,1,0,맑음,없음
"퇴근하고 왔더니 ㅠㅠ

차이797 마늘볶음밥 맛있게 먹었던 기억이 있어 신제품에서 보고 얼른 구입해 냉동실에 넣고 저녁에 먹자고 하며 출근했었는데
갑자기 야근으로 눚게 집에 갔더니...
신랑이 팬에 볶아 먹고 2인분양이라 처음엔 남겼다가 먹다보니 맛있어 다 드셨답니다. ㅋ
어떻게 /얼마나 맛있길래 2인분을 다 먹었냐고 따졌더니 비싼 중국집 볶음밥맛이라고만 하네요.
달랑 하나만 산 제 잘못이지요 ㅠ
얼릉 더 사러 컬리 들어와 후기 아닌 후기 올리고 재구매합니다~",2025-05-14,20250514,25,4,0,흐림,없음
첫구매했는데 맛있어요,2025-05-14,20250514,25,4,0,흐림,없음
반찬 없을 때 간편하게 먹기 좋아요.,2025-05-16,20250516,20,4,0,흐림,없음
차이797 시그니처 쇠고기 마늘 볶음밥 후기가 좋아서 구입했어요,2025-05-15,20250515,21,1,0,맑음,없음
신상에 할인 하길래 사봤습니다 맛이 기대되네요,2025-05-15,20250515,21,1,0,맑음,없음
신상이라 얼른 구매 해 봄.ㅎㅎ,2025-05-15,20250515,21,1,0,맑음,없음
지인 추천으로 샀어요! 기대해요,2025-05-15,20250515,21,1,0,맑음,없음
"퇴근하고 왔더니 ㅠㅠ

차이797 마늘볶음밥 맛있게 먹었던 기억이 있어 신제품에서 보고 얼른 구입해 냉동실에 넣고 저녁에 먹자고 하며 출근했었는데
갑자기 야근으로 눚게 집에 갔더니...
신랑이 팬에 볶아 먹고 2인분양이라 처음엔 남겼다가 먹다보니 맛있어 다 드셨답니다. ㅋ
어떻게 /얼마나 맛있길래 2인분을 다 먹었냐고 따졌더니 비싼 중국집 볶음밥맛이라고만 하네요.
달랑 하나만 산 제 잘못이지요 ㅠ
얼릉 더 사러 컬리 들어와 후기 아닌 후기 올리고 재구매합니다~",2025-05-14,20250514,25,4,0,흐림,없음
첫구매했는데 맛있어요,2025-05-14,20250514,25,4,0,흐림,없음
반찬 없을 때 간편하게 먹기 좋아요.,2025-05-16,20250516,20,4,0,흐림,없음
차이797 시그니처 쇠고기 마늘 볶음밥 후기가 좋아서 구입했어요,2025-05-15,20250515,21,1,0,맑음,없음
신상에 할인 하길래 사봤습니다 맛이 기대되네요,2025-05-15,20250515,21,1,0,맑음,없음
신상이라 얼른 구매 해 봄.ㅎㅎ,2025-05-15,20250515,21,1,0,맑음,없음
지인 추천으로 샀어요! 기대해요,2025-05-15,20250515,21,1,0,맑음,없음
"퇴근하고 왔더니 ㅠㅠ

차이797 마늘볶음밥 맛있게 먹었던 기억이 있어 신제품에서 보고 얼른 구입해 냉동실에 넣고 저녁에 먹자고 하며 출근했었는데
갑자기 야근으로 눚게 집에 갔더니...
신랑이 팬에 볶아 먹고 2인분양이라 처음엔 남겼다가 먹다보니 맛있어 다 드셨답니다. ㅋ
어떻게 /얼마나 맛있길래 2인분을 다 먹었냐고 따졌더니 비싼 중국집 볶음밥맛이라고만 하네요.
달랑 하나만 산 제 잘못이지요 ㅠ
얼릉 더 사러 컬리 들어와 후기 아닌 후기 올리고 재구매합니다~",2025-05-14,20250514,25,4,0,흐림,없음
첫구매했는데 맛있어요,2025-05-14,20250514,25,4,0,흐림,없음
반찬 없을 때 간편하게 먹기 좋아요.,2025-05-16,20250516,20,4,0,흐림,없음
차이797 시그니처 쇠고기 마늘 볶음밥 후기가 좋아서 구입했어요,2025-05-15,20250515,21,1,0,맑음,없음
신상에 할인 하길래 사봤습니다 맛이 기대되네요,2025-05-15,20250515,21,1,0,맑음,없음
신상이라 얼른 구매 해 봄.ㅎㅎ,2025-05-15,20250515,21,1,0,맑음,없음
지인 추천으로 샀어요! 기대해요,2025-05-15,20250515,21,1,0,맑음,없음
"퇴근하고 왔더니 ㅠㅠ

차이797 마늘볶음밥 맛있게 먹었던 기억이 있어 신제품에서 보고 얼른 구입해 냉동실에 넣고 저녁에 먹자고 하며 출근했었는데
갑자기 야근으로 눚게 집에 갔더니...
신랑이 팬에 볶아 먹고 2인분양이라 처음엔 남겼다가 먹다보니 맛있어 다 드셨답니다. ㅋ
어떻게 /얼마나 맛있길래 2인분을 다 먹었냐고 따졌더니 비싼 중국집 볶음밥맛이라고만 하네요.
달랑 하나만 산 제 잘못이지요 ㅠ
얼릉 더 사러 컬리 들어와 후기 아닌 후기 올리고 재구매합니다~",2025-05-14,20250514,25,4,0,흐림,없음
첫구매했는데 맛있어요,2025-05-14,20250514,25,4,0,흐림,없음
반찬 없을 때 간편하게 먹기 좋아요.,2025-05-16,20250516,20,4,0,흐림,없음
차이797 시그니처 쇠고기 마늘 볶음밥 후기가 좋아서 구입했어요,2025-05-15,20250515,21,1,0,맑음,없음
신상에 할인 하길래 사봤습니다 맛이 기대되네요,2025-05-15,20250515,21,1,0,맑음,없음
신상이라 얼른 구매 해 봄.ㅎㅎ,2025-05-15,20250515,21,1,0,맑음,없음
지인 추천으로 샀어요! 기대해요,2025-05-15,20250515,21,1,0,맑음,없음
"퇴근하고 왔더니 ㅠㅠ

차이797 마늘볶음밥 맛있게 먹었던 기억이 있어 신제품에서 보고 얼른 구입해 냉동실에 넣고 저녁에 먹자고 하며 출근했었는데
갑자기 야근으로 눚게 집에 갔더니...
신랑이 팬에 볶아 먹고 2인분양이라 처음엔 남겼다가 먹다보니 맛있어 다 드셨답니다. ㅋ
어떻게 /얼마나 맛있길래 2인분을 다 먹었냐고 따졌더니 비싼 중국집 볶음밥맛이라고만 하네요.
달랑 하나만 산 제 잘못이지요 ㅠ
얼릉 더 사러 컬리 들어와 후기 아닌 후기 올리고 재구매합니다~",2025-05-14,20250514,25,4,0,흐림,없음
첫구매했는데 맛있어요,2025-05-14,20250514,25,4,0,흐림,없음
반찬 없을 때 간편하게 먹기 좋아요.,2025-05-16,20250516,20,4,0,흐림,없음
차이797 시그니처 쇠고기 마늘 볶음밥 후기가 좋아서 구입했어요,2025-05-15,20250515,21,1,0,맑음,없음
신상에 할인 하길래 사봤습니다 맛이 기대되네요,2025-05-15,20250515,21,1,0,맑음,없음
신상이라 얼른 구매 해 봄.ㅎㅎ,2025-05-15,20250515,21,1,0,맑음,없음
지인 추천으로 샀어요! 기대해요,2025-05-15,20250515,21,1,0,맑음,없음
"퇴근하고 왔더니 ㅠㅠ

차이797 마늘볶음밥 맛있게 먹었던 기억이 있어 신제품에서 보고 얼른 구입해 냉동실에 넣고 저녁에 먹자고 하며 출근했었는데
갑자기 야근으로 눚게 집에 갔더니...
신랑이 팬에 볶아 먹고 2인분양이라 처음엔 남겼다가 먹다보니 맛있어 다 드셨답니다. ㅋ
어떻게 /얼마나 맛있길래 2인분을 다 먹었냐고 따졌더니 비싼 중국집 볶음밥맛이라고만 하네요.
달랑 하나만 산 제 잘못이지요 ㅠ
얼릉 더 사러 컬리 들어와 후기 아닌 후기 올리고 재구매합니다~",2025-05-14,20250514,25,4,0,흐림,없음
첫구매했는데 맛있어요,2025-05-14,20250514,25,4,0,흐림,없음
반찬 없을 때 간편하게 먹기 좋아요.,2025-05-16,20250516,20,4,0,흐림,없음
차이797 시그니처 쇠고기 마늘 볶음밥 후기가 좋아서 구입했어요,2025-05-15,20250515,21,1,0,맑음,없음
신상에 할인 하길래 사봤습니다 맛이 기대되네요,2025-05-15,20250515,21,1,0,맑음,없음
신상이라 얼른 구매 해 봄.ㅎㅎ,2025-05-15,20250515,21,1,0,맑음,없음
지인 추천으로 샀어요! 기대해요,2025-05-15,20250515,21,1,0,맑음,없음
"퇴근하고 왔더니 ㅠㅠ

차이797 마늘볶음밥 맛있게 먹었던 기억이 있어 신제품에서 보고 얼른 구입해 냉동실에 넣고 저녁에 먹자고 하며 출근했었는데
갑자기 야근으로 눚게 집에 갔더니...
신랑이 팬에 볶아 먹고 2인분양이라 처음엔 남겼다가 먹다보니 맛있어 다 드셨답니다. ㅋ
어떻게 /얼마나 맛있길래 2인분을 다 먹었냐고 따졌더니 비싼 중국집 볶음밥맛이라고만 하네요.
달랑 하나만 산 제 잘못이지요 ㅠ
얼릉 더 사러 컬리 들어와 후기 아닌 후기 올리고 재구매합니다~",2025-05-14,20250514,25,4,0,흐림,없음
첫구매했는데 맛있어요,2025-05-14,20250514,25,4,0,흐림,없음
반찬 없을 때 간편하게 먹기 좋아요.,2025-05-16,20250516,20,4,0,흐림,없음
차이797 시그니처 쇠고기 마늘 볶음밥 후기가 좋아서 구입했어요,2025-05-15,20250515,21,1,0,맑음,없음
신상에 할인 하길래 사봤습니다 맛이 기대되네요,2025-05-15,20250515,21,1,0,맑음,없음
신상이라 얼른 구매 해 봄.ㅎㅎ,2025-05-15,20250515,21,1,0,맑음,없음
지인 추천으로 샀어요! 기대해요,2025-05-15,20250515,21,1,0,맑음,없음
"퇴근하고 왔더니 ㅠㅠ

차이797 마늘볶음밥 맛있게 먹었던 기억이 있어 신제품에서 보고 얼른 구입해 냉동실에 넣고 저녁에 먹자고 하며 출근했었는데
갑자기 야근으로 눚게 집에 갔더니...
신랑이 팬에 볶아 먹고 2인분양이라 처음엔 남겼다가 먹다보니 맛있어 다 드셨답니다. ㅋ
어떻게 /얼마나 맛있길래 2인분을 다 먹었냐고 따졌더니 비싼 중국집 볶음밥맛이라고만 하네요.
달랑 하나만 산 제 잘못이지요 ㅠ
얼릉 더 사러 컬리 들어와 후기 아닌 후기 올리고 재구매합니다~",2025-05-14,20250514,25,4,0,흐림,없음
첫구매했는데 맛있어요,2025-05-14,20250514,25,4,0,흐림,없음
